3960-bin,1,Skip to content,
3960-bin,2,Sign up,
3960-bin,3,Hosting,
3960-bin,4,Explore,
3960-bin,5,Explore GitHub →,
3960-bin,6,Learn & contribute,
3960-bin,7,Learning Lab,
3960-bin,8,Connect with others,
3960-bin,9,Compare plans,
3960-bin,10,Jump to,
3960-bin,11,Jump to,
3960-bin,12,Jump to,
3960-bin,13,Sign in,
3960-bin,14,Sign up,
3960-bin,15,Watch,
3960-bin,16,Fork,
3960-bin,17,Pull requests,
3960-bin,18,Pull requests,
3960-bin,19,Go to file,
3960-bin,20,Git stats,
3960-bin,21,Failed to load latest commit information.,
3960-bin,22,cracked.PNG,
3960-bin,23,"Kitty (Web - 70 Points, 568 solves)",
3960-bin,24,They managed to secure their website this time and moved the hashing to the server :(,
3960-bin,25,We managed to leak this hash of the admin's password though! c7e83c01ed3ef54812673569b2d79c4e1f6554ffeb27706e98c067de9ab12d1a,(I)
3960-bin,26,Can you get the flag? kitty.vuln.icec.tf,
3960-bin,27,"The first thing you want to do is look at the page source, you will notice specific password requirements to even send a POST to the server.",(I)
3960-bin,28,Using this information we can either bruteforce the password since it is a small enough keyspace or use an online tool to crack it.,(I) 27
3960-bin,29,"In this case, I'm going to brute force it with Hashcat",(A) 28
3960-bin,30,You will find that the password is Vo83* which matches our password requirements as described above.,
3960-bin,31,Help,
3960-bin,32,You can't perform that action at this time.,
3960-bin,33,You signed in with another tab or window,
3960-bin,34,Reload to refresh your session.,
3960-bin,35,You signed out in another tab or window,
3960-bin,36,Reload to refresh your session.,
3960-bin,37,We use optional third-party analytics cookies to understand how you use GitHub.com so we can build better products.,
3960-bin,38,Learn more.,
3960-bin,39,Accept,
3960-bin,40,Reject,
3960-bin,41,We use optional third-party analytics cookies to understand how you use GitHub.com so we can build better products.,
3960-bin,42,You can always update your selection by clicking Cookie Preferences at the bottom of the page.,
3960-bin,43,"For more information, see our Privacy Statement.",
3960-bin,44,"We use essential cookies to perform essential website functions, e.g",
3960-bin,45,they're used to log you in.,
3960-bin,46,Learn more,
3960-bin,47,"We use analytics cookies to understand how you use our websites so we can make them better, e.g",
3960-bin,48,they're used to gather information about the pages you visit and how many clicks you need to accomplish a task.,
3960-bin,49,Learn more,
3960-bin,50,Accept,
3960-bin,51,Reject,
